detail_url,Collection,Volume,Floor Price,% Change,Sales,Social_Media_Links
https://opensea.io/collection/kitaroworld,Kitaro World,12 ETH,0.14 ETH,+233%,80,"https://etherscan.io/address/0x39d3230c84efcb5559d22f499151934476b5c16d, https://kitaro.world/, https://instagram.com/kitaroworld, https://www.twitter.com/KitaroNFT"
https://opensea.io/collection/nakamigos,Nakamigos,15 ETH,0.18 ETH,-14%,79,"https://etherscan.io/address/0xd774557b647330c91bf44cfeab205095f7e6c367, https://nakamigos.io/, https://www.twitter.com/Nakamigos"
https://opensea.io/collection/otherdeed-expanded,Otherdeed Expanded,36 ETH,0.26 ETH,-23%,71,"https://etherscan.io/address/0x790b2cf29ed4f310bf7641f013c65d4560d28371, https://otherside.xyz/, https://discord.gg/the-otherside, https://www.twitter.com/OthersideMeta"
https://opensea.io/collection/otherdeed,Otherdeed for Otherside,62 ETH,0.60 ETH,-47%,68,"https://etherscan.io/address/0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258, https://otherside.xyz/, https://discord.gg/the-otherside, https://www.twitter.com/othersidemeta"
https://opensea.io/collection/degods,DeGods,212 ETH,3.20 ETH,-0.11%,61,"https://etherscan.io/address/0x8821bee2ba0df28761afff119d66390d594cd280, https://degods.com/, https://discord.gg/dexyz, https://www.twitter.com/DeGodsNFT"
https://opensea.io/collection/metarebelzpixelz,MetaRebelzPixelz,19 ETH,< 0.01 ETH,-17%,77,"https://etherscan.io/address/0x92cec813b1486f632c3b0963c621930ee9503a26, https://metarebelz.io/, https://discord.gg/norugsstudio, https://www.twitter.com/metarebelzeth"
https://opensea.io/collection/beanzofficial,BEANZ Official,18 ETH,0.31 ETH,+53%,60,"https://etherscan.io/address/0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949, https://www.twitter.com/Azuki"
https://opensea.io/collection/bored-ape-kennel-club,Bored Ape Kennel Club,78 ETH,1.65 ETH,-20%,49,"https://etherscan.io/address/0xba30e5f9bb24caa003e9f2f0497ad287fdf95623, http://boredapeyachtclub.com/#/kennel-club, https://discord.gg/wjH7hGz2yS, https://www.twitter.com/boredapeyc"
https://opensea.io/collection/yogapetz,Yogapetz,8 ETH,0.09 ETH,+46%,49,"https://etherscan.io/address/0x142e03367ede17cd851477a4287d1f35676e6dc2, https://yogapetz.com/, https://discord.gg/yogapetz, https://www.twitter.com/Yogapetz"
https://opensea.io/collection/fluf-world-thingies,FLUF World: Thingies,6 ETH,0.11 ETH,"+1,506%",42,"https://etherscan.io/address/0x1afef6b252cc35ec061efe6a9676c90915a73f18, https://fluf.world/, https://discord.gg/futureverse, https://instagram.com/flufworld, https://www.twitter.com/flufworld"
https://opensea.io/collection/pudgypenguins,Pudgy Penguins,302 ETH,5.37 ETH,+104%,56,"https://etherscan.io/address/0xbd3531da5cf5857e7cfaa92426877b022e612cf8, https://www.pudgypenguins.com/, https://discord.gg/pudgypenguins, https://instagram.com/pudgypenguins, https://www.twitter.com/pudgypenguins"
https://opensea.io/collection/sugartownoras,Sugartown Oras,16 ETH,0.26 ETH,-52%,61,"https://etherscan.io/address/0xd564c25b760cb278a55bdd98831f4ff4b6c97b38, https://visitsugartown.com/, https://www.twitter.com/visitsugartown"
https://opensea.io/collection/cyberkongz-babies,CyberKongz (Babies),13 ETH,0.30 ETH,+810%,41,"https://cyberkongz.com/, https://discord.gg/cyberkongz, https://www.medium.com/cyberkongz, https://instagram.com/cyberkongz, https://www.twitter.com/CyberKongz"
https://opensea.io/collection/sproto-gremlins,Sproto Gremlins,29 ETH,0.78 ETH,-36%,38,"https://etherscan.io/address/0xeeca64ea9fcf99a22806cd99b3d29cf6e8d54925, http://www.hpos10i.com/, https://discord.gg/BNtQbK6d7Y, https://t.me/hpos10i, https://www.twitter.com/sprotogremlins"
https://opensea.io/collection/mutant-ape-yacht-club,Mutant Ape Yacht Club,187 ETH,5.09 ETH,+17%,36,https://etherscan.io/address/0x60e4d786628fea6478f785a6d7e704777c86a7c6
https://opensea.io/collection/hv-mtl,HV-MTL,10 ETH,0.23 ETH,+2%,33,"https://etherscan.io/address/0x4b15a9c28034dc83db40cd810001427d3bd7163d, https://mdvmm.xyz/, https://discord.gg/bayc, https://www.twitter.com/BoredApeYC"
https://opensea.io/collection/doodles-official,Doodles,47 ETH,1.30 ETH,+62%,38,"https://etherscan.io/address/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e, https://web3.doodles.app/, https://discord.gg/doodles, https://www.twitter.com/doodles"
https://opensea.io/collection/azukielementals,Azuki Elementals,20 ETH,0.49 ETH,+148%,41,https://etherscan.io/address/0xb6a37b5d14d502c3ab0ae6f3a0e058bc9517786e
https://opensea.io/collection/10ktf-tools,10KTF Tools,16 ETH,0.32 ETH,+97%,32,"https://etherscan.io/address/0x8116e42c06d7e22e07d785aba535fa9ed6c1516d, http://10ktf.com/, https://www.twitter.com/10KTFshop"
https://opensea.io/collection/sandbox,The Sandbox,11 ETH,0.25 ETH,+36%,31,"https://www.sandbox.game/, https://discord.gg/vAe4zvY, https://www.medium.com/sandbox-game, https://t.me/sandboxgame, https://www.twitter.com/thesandboxgame"
https://opensea.io/collection/opepen-edition,Opepen Edition,19 ETH,0.39 ETH,-25%,30,"https://etherscan.io/address/0x6339e5e072086621540d0362c4e3cea0d643e114, http://opepen.art/, https://www.twitter.com/jackbutcher"
https://opensea.io/collection/remilio-babies,Redacted Remilio Babies,19 ETH,0.40 ETH,+30%,31,"https://etherscan.io/address/0xd3d9ddd0cf0a5f0bfb8f7fceae075df687eaebab, http://remilio.org/, https://www.twitter.com/REMILIONAIRE"
https://opensea.io/collection/veefriends-series-2,VeeFriends Series 2,6 ETH,0.11 ETH,+150%,33,"https://etherscan.io/address/0x9378368ba6b85c1fba5b131b530f5f5bedf21a18, https://series2.veefriends.com/, https://discord.gg/veefriends, https://www.medium.com/veefriends, https://instagram.com/veefriends"
https://opensea.io/collection/championsarena,Champions Arena,5 ETH,0.04 ETH,+602%,27,"https://etherscan.io/address/0x8ac865b70a212af1825bdff9f0561a26a2a94b37, https://app.gala.games/, https://discord.gg/sMNTHukHpd, https://www.medium.com/GogalaGames, https://instagram.com/GogalaGames, https://www.twitter.com/GoGalaGames"
https://opensea.io/collection/worriedmeerkats,Worried Meerkats,19 ETH,0.49 ETH,+454%,25,"https://etherscan.io/address/0x71ba34871ffe7068eaa6b3f5d6ad5469da8ce71a, https://timesoul.com/, https://discord.gg/timesoul, https://www.twitter.com/timesoulcom"
https://opensea.io/collection/pudgyrods,Pudgy Rods,8 ETH,0.39 ETH,-0.71%,23,"https://etherscan.io/address/0x062e691c2054de82f28008a8ccc6d7a1c8ce060d, https://pudgypenguins.com/, https://discord.gg/pudgypenguins, https://instagram.com/pudgypenguins, https://www.twitter.com/pudgypenguins"
https://opensea.io/collection/chimpersnft,Chimpers,7 ETH,0.32 ETH,+243%,22,"https://etherscan.io/address/0x80336ad7a747236ef41f47ed2c7641828a480baa, https://www.chimpers.xyz/, https://discord.gg/chimpers, https://www.twitter.com/ChimpersNFT"
https://opensea.io/collection/cool-cats-nft,Cool Cats NFT,14 ETH,0.51 ETH,+54%,23,"https://etherscan.io/address/0x1a92f7381b9f03921564a437210bb9396471050c, http://coolcatsnft.com/, https://discord.gg/coolcatsnft, https://www.medium.com/coolcatsnft, https://instagram.com/coolcatsglobal, https://www.twitter.com/coolcats"
https://opensea.io/collection/proof-moonbirds,Moonbirds,34 ETH,1.30 ETH,+1%,26,"https://etherscan.io/address/0x23581767a106ae21c074b2276d25e5c3e136a68b, https://proof.xyz/moonbirds, https://discord.gg/proof, https://www.twitter.com/moonbirds"
https://opensea.io/collection/rotanft,ROTA Official,5 ETH,0.27 ETH,+17%,21,"https://etherscan.io/address/0xdfb29501b42f63a947ddc5249f185d6bcbe6986f, https://atsnft.io/, https://discord.gg/atsnft, https://www.medium.com/atsnft, https://www.twitter.com/ATSNFT"
https://opensea.io/collection/the-sandbox-lion-city-land-sale,The Sandbox - Lion City LAND Sale,6 ETH,—,,19,"http://www.sandbox.game/, https://www.medium.com/sandbox-game, https://t.me/sandboxgame"
https://opensea.io/collection/terraforms,Terraforms by Mathcastles,21 ETH,1.45 ETH,+16%,15,"https://etherscan.io/address/0x4e1f41613c9084fdb9e34e11fae9412427480e56, http://mathcastles.xyz/, https://discord.gg/mathcastles, https://www.twitter.com/mathcastles"
https://opensea.io/collection/acclimatedmooncats,MoonCats,6 ETH,0.23 ETH,+205%,15,"https://etherscan.io/address/0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, https://mooncat.community/, https://discord.gg/mooncats, https://www.medium.com/mooncatcommunity, https://www.twitter.com/mooncatrescue"
https://opensea.io/collection/moonbears-nft,Moonbears NFT,5 ETH,0.35 ETH,-9%,17,"https://etherscan.io/address/0x3b8420eb6ef77bc25025b32d8205cde2683f979e, https://moonbears.xyz/, https://discord.gg/kcqxrJe8w3, https://www.medium.com/trippyfish, https://www.twitter.com/moonbears_xyz"
https://opensea.io/collection/boredapeyachtclub,Bored Ape Yacht Club,570 ETH,26.99 ETH,+20%,20,"https://etherscan.io/address/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d, http://www.boredapeyachtclub.com/, https://discord.gg/3P5K3dzgdB, https://www.twitter.com/BoredApeYC"
https://opensea.io/collection/pixelmongen1,Pixelmon - Generation 1,7 ETH,0.37 ETH,,14,"https://etherscan.io/address/0x32973908faee0bf825a343000fe412ebe56f802a, https://pixelmon.club/, https://discord.gg/ThePixelmon, https://www.medium.com/thepixelmongame, https://www.twitter.com/Pixelmon"
https://opensea.io/collection/mfers,mfers,5 ETH,0.38 ETH,+103%,13,https://etherscan.io/address/0x79fcdef22feed20eddacbb2587640e45491b757f
https://opensea.io/collection/azuki,Azuki,97 ETH,4.30 ETH,+55%,12,"https://etherscan.io/address/0xed5af388653567af2f388e6224dc7c4b3241c544, http://www.azuki.com/, https://discord.gg/azuki, https://instagram.com/azuki, https://www.twitter.com/Azuki"
https://opensea.io/collection/otherside-koda,Otherside Koda,39 ETH,3.35 ETH,-54%,11,"https://etherscan.io/address/0xe012baf811cf9c05c408e879c399960d1f305903, https://otherside.xyz/, https://discord.gg/the-otherside, https://www.twitter.com/OthersideMeta"
https://opensea.io/collection/kanpai-pandas,Kanpai Pandas,11 ETH,0.85 ETH,-36%,13,"https://etherscan.io/address/0xacf63e56fd08970b43401492a02f6f38b6635c91, https://kanpaipandas.io/, https://discord.gg/kanpaipandas, https://www.medium.com/kanpaipandas, https://t.me/kanpaipandasofficial, https://www.twitter.com/KanpaiPandas"
https://opensea.io/collection/thecaptainz,The Captainz,34 ETH,3.50 ETH,-1%,9,"https://etherscan.io/address/0x769272677fab02575e84945f03eca517acc544cc, http://memeland.com/captainz, https://discord.gg/memeland, https://instagram.com/memeland, https://www.twitter.com/Memeland"
https://opensea.io/collection/10ktf-kagami,10KTF Kagami,8 ETH,0.93 ETH,+576%,9,https://etherscan.io/address/0xccc1825cf04cae4d497b202d1434ec0f79ee535f
https://opensea.io/collection/valeriagames,Valeria Games Genesis Lands,7 ETH,0.44 ETH,+272%,9,"https://etherscan.io/address/0x2187093a2736442d0b5c5d5464b98fc703e3b88d, http://valeriagames.com/, https://discord.gg/valeriagames, https://www.twitter.com/ValeriaStudios"
https://opensea.io/collection/contractual-obligations,Contractual Obligations,44 ETH,6 ETH,+87%,8,"https://etherscan.io/address/0x025b0a638768b49901565c39a0c141bdb52cc06f, https://superrare.com/series/0x025b0a638768b49901565c39a0c141bdb52cc06f, https://www.twitter.com/MattKaneArtist"
https://opensea.io/collection/meebits,Meebits,9 ETH,1.00 ETH,-69%,9,"https://etherscan.io/address/0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7, https://meebits.app/, https://discord.com/invite/meebits, https://www.twitter.com/MeebitsNFTs"
https://opensea.io/collection/genesis-creepz,Creepz by OVERLORD,9 ETH,0.87 ETH,,11,"https://etherscan.io/address/0x5946aeaab44e65eb370ffaa6a7ef2218cff9b47d, http://www.overlord.xyz/, https://discord.gg/overlordxyz, https://instagram.com/creepz, https://www.twitter.com/Overlord_xyz"
https://opensea.io/collection/onchainmonkey,OnChainMonkey,6 ETH,1.02 ETH,+4%,7,"https://etherscan.io/address/0x960b7a6bcd451c9968473f7bbfd9be826efd549a, https://onchainmonkey.com/, https://discord.gg/ocm, https://www.medium.com/onchainmonkey, https://www.twitter.com/OnChainMonkey"
https://opensea.io/collection/station3-patron,Station3 Patron,6 ETH,1.85 ETH,+313%,4,"https://etherscan.io/address/0x5116edd4ac94d6aeb54b5a1533ca51a7e0c86807, http://station3.nyc/, https://discord.gg/rfcEvJ7RXq, https://www.twitter.com/Station3NYC"
https://opensea.io/collection/cryptopunks,CryptoPunks,219 ETH,—,-51%,3,"https://etherscan.io/address/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb, https://cryptopunks.app/, https://discord.gg/tQp4pSE, https://www.twitter.com/cryptopunksnfts"
https://opensea.io/collection/wrapped-cryptopunks,Wrapped Cryptopunks,127 ETH,52 ETH,+48%,3,"https://etherscan.io/address/0xb7f7f6c52f2e2fdb1963eab30438024864c313f6, https://wrappedpunks.com/, https://discord.gg/Bvf5m9k, https://www.twitter.com/arkgalleryDAO"
https://opensea.io/collection/onchain-buccaneers,OnChain Buccaneers (OCB),14 ETH,3.10 ETH,,4,"https://etherscan.io/address/0x1dc454ee1fd63f3d792aeee9d331c05d9c62b20a, https://onchainbuccaneers.com/, https://www.medium.com/@onchainbuccaneers/onchain-buccaneers-manifesto-d62005fe29, https://www.twitter.com/OCBalpha"
https://opensea.io/collection/fluf,FLUF World,9 ETH,1.02 ETH,+281%,7,"https://etherscan.io/address/0xccc441ac31f02cd96c153db6fd5fe0a2f4e6a68d, https://fluf.world/, https://discord.gg/futureverse, https://instagram.com/flufworld, https://www.twitter.com/flufworld"
https://opensea.io/collection/winds-of-yawanawa,Winds of Yawanawa by Yawanawa and Refik Anadol,19 ETH,6.60 ETH,-50%,3,"https://etherscan.io/address/0x7a63d17f5a59bca04b6702f461b1f1a1c59b100b, https://www.twitter.com/refikanadol"
https://opensea.io/collection/luppyclubofficial,LuppyclubOfficial,9 ETH,0.57 ETH,-56%,3,"https://luppy-nft.com/, https://discord.gg/Sakd7YMtMa, https://www.twitter.com/LUPPYNFT"
https://opensea.io/collection/cyberkongz,CyberKongz,8 ETH,5.25 ETH,,2,"https://etherscan.io/address/0x57a204aa1042f6e66dd7730813f4024114d74f37, http://cyberkongz.com/, https://discord.gg/cyberkongz, https://www.medium.com/cyberkongz, https://instagram.com/cyberkongz, https://www.twitter.com/CyberKongz"
https://opensea.io/collection/veefriends,VeeFriends,9 ETH,2.08 ETH,+40%,3,"https://etherscan.io/address/0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb, https://veefriends.com/, https://instagram.com/veefriends, https://www.twitter.com/veefriends"
https://opensea.io/collection/gazers-by-matt-kane,Gazers by Matt Kane,37 ETH,13.99 ETH,,3,"https://artblocks.io/, https://discord.gg/t53rPNzNBT, https://instagram.com/mattkaneartist, https://www.twitter.com/MattKaneArtist"
https://opensea.io/collection/keungz-genesis,Keungz Genesis,5 ETH,3.17 ETH,+152%,2,"https://etherscan.io/address/0x76cc4742f7eaa89a93576505dec37c2c66a76ab7, https://keungz.com/, https://discord.gg/yogapetz, https://www.twitter.com/keung"
https://opensea.io/collection/youtherealmvp,YOU THE REAL MVP,30 ETH,30 ETH,,1,"https://etherscan.io/address/0x6efc003d3f3658383f06185503340c2cf27a57b6, http://memeland.com/, https://discord.gg/memeland, https://instagram.com/memeland, https://www.twitter.com/memeland"
https://opensea.io/collection/yatc,You Are The Champion,12 ETH,12.99 ETH,,1,"https://etherscan.io/address/0x00723c39194f7f449be736da0d1c4ec809dde793, https://www.matr1x.io/NFT, https://discord.gg/matr1x, https://www.medium.com/@Matr1x_Official, https://t.me/matr1xofficial, https://www.twitter.com/Matr1xOfficial"
https://opensea.io/collection/chromie-squiggle-by-snowfro,Chromie Squiggle by Snowfro,9 ETH,9.69 ETH,,1,"https://artblocks.io/, https://www.twitter.com/artblocks_io"
https://opensea.io/collection/twinflames,Justin Aversano - Twin Flames - Collection of 100 Twin Portraits,20 ETH,17.30 ETH,,1,"https://etherscan.io/address/0x3c28de567d1412b06f43b15e9f75129625fa6e8c, https://www.justinaversano.com/twinflames, https://discord.gg/6kgcTUSVfR, https://t.me/justinaversano, https://instagram.com/justinaversano, https://www.twitter.com/justinaversano"
https://opensea.io/collection/nouns,Nouns,30 ETH,32.90 ETH,+2%,1,"https://etherscan.io/address/0x9c8ff314c9bc7f6e59a9d9225fb22946427edc03, https://nouns.wtf/, https://www.twitter.com/nounsdao"
https://opensea.io/collection/rarepass-genesis,RarePass: Genesis,7 ETH,7.78 ETH,,1,"https://etherscan.io/address/0xbbb62c4b8ed027530ce5f6663d1a2aa8a7e8cacf, https://rarepass.superrare.com/, https://instagram.com/superrare.co, https://www.twitter.com/SuperRare"
https://opensea.io/collection/bored-ape-chemistry-club,Bored Ape Chemistry Club,5 ETH,8 ETH,,1,https://etherscan.io/address/0x22c36bfdcef207f9c0cc941936eff94d4246d14a
https://opensea.io/collection/genesis-by-claire-silver,Genesis by Claire Silver,5 ETH,5.50 ETH,-25%,1,https://braindrops.cloud/
