
After simulation 67,0,6
before simulation 68,3,15
After simulation 68,1,4
before simulation 69,3,16
After simulation 69,1,4
before simulation 70,3,17
After simulation 70,0,6
before simulation 71,3,18
After simulation 71,1,4
before simulation 72,3,19
After simulation 72,3,5
before simulation 73,3,20
After simulation 73,1,4
before simulation 74,3,21
After simulation 74,1,3
before simulation 75,3,22
After simulation 75,0,6
before simulation 76,3,23
After simulation 76,3,5
before simulation 77,3,24
After simulation 77,1,7
before simulation 78,3,25
After simulation 78,0,6
before simulation 79,3,26
After simulation 79,0,8
before simulation 80,3,27
After simulation 80,0,7
before simulation 81,3,28
After simulation 81,0,6
before simulation 82,3,29
After simulation 82,0,8
before simulation 83,3,30
After simulation 83,0,9
before simulation 84,3,31
After simulation 84,0,6
before simulation 85,3,32
After simulation 85,0,7
before simulation 86,3,33
After simulation 86,0,8
before simulation 87,3,34
After simulation 87,0,7
before simulation 88,3,35
After simulation 88,0,10
before simulation 89,3,36
After simulation 89,0,5
before simulation 90,3,37
After simulation 90,0,7
before simulation 91,3,38
After simulation 91,1,10
before simulation 92,3,39
After simulation 92,0,8
before simulation 93,3,40
After simulation 93,0,8
before simulation 94,4,10
After simulation 94,1,4
before simulation 95,4,11
After simulation 95,0,5
before simulation 96,4,12
After simulation 96,0,6
before simulation 97,4,13
After simulation 97,2,5
before simulation 98,4,14
After simulation 98,0,4
before simulation 99,4,15
After simulation 99,0,6
before simulation 100,4,16
After simulation 100,1,6
before simulation 101,4,17
After simulation 101,0,3
before simulation 102,4,18
After simulation 102,1,6
before simulation 103,4,19
After simulation 103,1,8
before simulation 104,4,20
After simulation 104,0,6
before simulation 105,4,21
After simulation 105,0,5
before simulation 106,4,22
After simulation 106,2,6
before simulation 107,4,23
After simulation 107,1,7
before simulation 108,4,24
After simulation 108,1,7
before simulation 109,4,25
After simulation 109,0,8
before simulation 110,4,26
After simulation 110,0,8
before simulation 111,4,27
After simulation 111,0,4
before simulation 112,4,28
After simulation 112,0,6
before simulation 113,4,29
After simulation 113,0,8
before simulation 114,4,30
After simulation 114,1,7
before simulation 115,4,31
After simulation 115,0,6
before simulation 116,4,32
After simulation 116,0,7
before simulation 117,4,33
After simulation 117,0,6
before simulation 118,4,34
After simulation 118,0,7
before simulation 119,4,35
After simulation 119,0,6
before simulation 120,4,36
After simulation 120,0,8
before simulation 121,4,37
After simulation 121,0,5
before simulation 122,4,38
After simulation 122,0,6
before simulation 123,4,39
After simulation 123,0,9
before simulation 124,4,40
After simulation 124,1,5
before simulation 125,5,10
After simulation 125,2,6
before simulation 126,5,11
After simulation 126,0,5
before simulation 127,5,12
After simulation 127,2,5
before simulation 128,5,13
After simulation 128,3,3
before simulation 129,5,14
After simulation 129,2,6
before simulation 130,5,15
After simulation 130,0,7
before simulation 131,5,16
After simulation 131,0,6
before simulation 132,5,17
After simulation 132,2,6
before simulation 133,5,18
After simulation 133,1,5
before simulation 134,5,19
After simulation 134,0,8
before simulation 135,5,20
After simulation 135,1,6
before simulation 136,5,21
After simulation 136,1,5
before simulation 137,5,22
After simulation 137,0,7
before simulation 138,5,23
After simulation 138,0,6
before simulation 139,5,24
After simulation 139,0,6
before simulation 140,5,25
After simulation 140,0,4
before simulation 141,5,26
After simulation 141,0,6
before simulation 142,5,27
After simulation 142,0,8
before simulation 143,5,28
After simulation 143,0,6
before simulation 144,5,29
After simulation 144,0,9
before simulation 145,5,30
After simulation 145,1,6
before simulation 146,5,31
After simulation 146,1,6
before simulation 147,5,32
After simulation 147,0,6
before simulation 148,5,33
After simulation 148,0,8
before simulation 149,5,34
After simulation 149,0,6
before simulation 150,5,35
After simulation 150,2,6
before simulation 151,5,36
After simulation 151,0,7
before simulation 152,5,37
After simulation 152,0,5
before simulation 153,5,38
After simulation 153,0,8
before simulation 154,5,39
After simulation 154,0,10
before simulation 155,5,40
After simulation 155,1,6
